Disease,Category,Symptom,Type,Prevalence,
ASXL2,Communication,Speech Delay,,1.00,
ASXL3,Communication,Minimal or complete lack of expressive language,,0.10,
ASXL4,Neurological,,,,
ASXL5,Neurological,Abnormal muscle tone,Hypotonia,0.74,
ASXL6,Neurological,Seizures,,0.59,
ASXL7,Neurological,Brain Abnormalities,Ventriculomegaly,0.78,
ASXL8,Neurological,Brain Abnormalities,Delayed myelination,0.10,
ASXL9,Neurological,Brain Abnormalities,Dandy-Walker Malformation,0.10,
ASXL10,Neurological,Brain Abnormalities,Generalized atrophy,0.10,
ASXL11,Neurological,Brain Abnormalities,Agenesis of Corpus Callousum,0.10,
ASXL12,Neurological,Brain Abnormalities,Neuronal Migration Abnormalities,0.10,
ASXL14,Behavioral,Autism,,0.09,
ASXL15,Behavioral,Behavior Disturbance,,0.20,
ASXL16,Behavioral,Self-Injurious Behavior,,0.01,
ASXL17,Behavioral,Happy & Pleasant Demeanor,,0.30,
ASXL19,Cognition,Severe/Profound Intellectual Disability,,1.00,
ASXL20,Cognition,Developmental Delay,,1.00,
ASXL22,Motor,Motor Delay,,1.00,
ASXL23,Motor,Gross Motor Dysfunction,,0.30,
ASXL24,Motor,Fine Motor Dysfunction,,0.30,
ASXL25,Motor,Oral Motor Dysfunction,,0.30,
ASXL26,Motor,Non-ambulatory,,0.30,
ASXL28,Sleep,Obstructive Sleep Apnea,,0.80,
ASXL29,Sleep,Irregular sleep/wake cycle,,0.80,
ASXL30,Sleep,Sleep Disturbance,,0.50,
ASXL32,Musculoskeletal,BOS Posture,,0.65,
ASXL33,Musculoskeletal,Fixed Contractures,,0.61,
ASXL34,Musculoskeletal,Trigonocephaly,,0.49,
ASXL35,Musculoskeletal,Scoliosis,,0.40,
ASXL36,Musculoskeletal,Craniofacial Abnormalities,Micro/retinognathia,0.69,
ASXL37,Musculoskeletal,Craniofacial Abnormalities,Microcephaly,0.59,
ASXL38,Musculoskeletal,Craniofacial Abnormalities,Cleft Palate,0.19,
ASXL39,Musculoskeletal,Craniofacial Abnormalities,Gothic Arch,0.79,
ASXL40,Musculoskeletal,Craniofacial Abnormalities,Hypertelorism,0.61,
ASXL41,Musculoskeletal,Craniofacial Abnormalities,Prominent Eyes,0.69,
ASXL42,Musculoskeletal,Craniofacial Abnormalities,Upslanting palebral fissures,0.39,
ASXL43,Musculoskeletal,Craniofacial Abnormalities,Depressed Nasal Bridge,0.57,
ASXL44,Musculoskeletal,Craniofacial Abnormalities,Anteverted Nares,0.37,
ASXL45,Musculoskeletal,Craniofacial Abnormalities,Low Set Ears,0.59,
ASXL46,Musculoskeletal,Craniofacial Abnormalities,Low Hairline,0.57,
ASXL47,Musculoskeletal,Craniofacial Abnormalities,Prominent Forehead/hypoplastic supraorbital ridges,0.05,
ASXL48,Musculoskeletal,Craniofacial Abnormalities,synophyrs,0.05,
ASXL49,Musculoskeletal,Craniofacial Abnormalities,hypotonic face with full cheeks,0.05,
ASXL50,Musculoskeletal,Congenital Dislocations,Hip and Radial Dislocations,0.33,
ASXL52,Gastrointestinal,Feeding Difficulties,,0.94,
ASXL53,Gastrointestinal,Frequent emesis,,0.92,
ASXL55,Skin,Glabellar nevus flammeus/facial hemangioma,,0.70,
ASXL56,Skin,Hypertrichosis,,0.78,
ASXL57,Skin,Syndactyl,,0.16,
ASXL58,Skin,Deep Palmar Creases,,0.20,
ASXL60,Visual,Strabismus,,0.30,
ASXL61,Visual,Myopia,,0.60,
ASXL62,Visual,Retinal/Optic Nerve Abnormalities,colobomas,0.20,
ASXL63,Visual,Retinal/Optic Nerve Abnormalities,retinal and optic nerve atrophy,0.20,
ASXL64,Visual,Retinal/Optic Nerve Abnormalities,abnormal coloration of retina,0.20,
ASXL66,Other,Growth Issues,Growth delay,1.00,
ASXL67,Other,Growth Issues,IUGR,0.63,
ASXL68,Other,Respiratory Distress,,0.41,
ASXL69,Other,Neonatal Infections,,0.34,
ASXL70,Other,Genital Abnormalities,,0.16,
ASXL71,Other,Renal Abnormalities,,0.14,
ASXL72,Other,Cardiac Abnormalities,,0.38,
ASXL73,Other,Wilms Tumor,,0.06,
ASXL74,Other,Urinary retention and recurrent urinary tract infections,,0.05,
ASXL75,Other,Annular pancreas & gallstones,,0.05,
ASXL76,Other,Increased risk for renal stones,,0.05,
